stock_name,date,closing_price
NTL,07/17/2020,16.2
NTL,07/16/2020,16.2
NTL,07/15/2020,16.1
NTL,07/14/2020,16.25
NTL,07/13/2020,16.25
NTL,07/10/2020,16.3
NTL,07/09/2020,16.4
NTL,07/08/2020,16.3
NTL,07/07/2020,16.2
NTL,07/06/2020,16.2
NTL,07/03/2020,16.25
NTL,07/02/2020,15.9
NTL,07/01/2020,15.9
NTL,06/30/2020,15.5
NTL,06/29/2020,15.75
NTL,06/26/2020,15.95
NTL,06/25/2020,16.1
NTL,06/24/2020,16.15
NTL,06/23/2020,16.4
NTL,06/22/2020,16.55
NTL,06/19/2020,16.25
NTL,06/18/2020,15.9
NTL,06/17/2020,15.95
NTL,06/16/2020,15.9
NTL,06/15/2020,15.65
NTL,06/12/2020,16.5
NTL,06/11/2020,16.8
NTL,06/10/2020,18.8
NTL,06/09/2020,18.5
NTL,06/08/2020,18.3
NTL,06/05/2020,17.95
NTL,06/04/2020,18.0
NTL,06/03/2020,18.0
NTL,06/02/2020,18.05
NTL,06/01/2020,18.5
NTL,05/29/2020,18.0
NTL,05/28/2020,17.7
NTL,05/27/2020,17.6
NTL,05/26/2020,17.6
NTL,05/25/2020,17.5
NTL,05/22/2020,17.45
NTL,05/21/2020,17.6
NTL,05/20/2020,17.55
NTL,05/19/2020,17.55
NTL,05/18/2020,17.55
NTL,05/15/2020,17.55
NTL,05/14/2020,17.85
NTL,05/13/2020,18.1
NTL,05/12/2020,17.6
NTL,05/11/2020,17.1
NTL,05/08/2020,17.0
NTL,05/07/2020,17.25
NTL,05/06/2020,16.95
NTL,05/05/2020,16.85
NTL,05/04/2020,16.85
NTL,04/29/2020,17.1
NTL,04/28/2020,17.2
NTL,04/27/2020,17.45
NTL,04/24/2020,16.9
NTL,04/23/2020,16.75
NTL,04/22/2020,16.8
NTL,04/21/2020,17.0
NTL,04/20/2020,17.8
NTL,04/17/2020,17.8
NTL,04/16/2020,17.25
NTL,04/15/2020,17.3
